UN-Nummer;Benennung und Beschreibung;Klasse;Klassifizierungscode;Verpackungsgruppe;Gefahrzettel;Sondervorschriften;Begrenzte und freigestellte Mengen A;Begrenzte und freigestellte Mengen B;Verpackung_Anweisungen;Verpackung_Sondervorschriften;Verpackung_Zusammenpackung;Tank_Anweisungen;Tank_Sondervorschriften;ADR-Tanks_Tankcodierung;ADR-Tanks_Sondervorschriften;Fahrzeug_Befoerderung_Tanks;Befoerderungskategorie;Sondervorschriften_Versandstuecke;Sondervorschriften_SchuettGut;Sondervorschriften_Handhabung;Sondervorschriften_Betrieb;Nummer_Gefahr
(1);(2);(3a);(3b);(4);(5);(6);(7a);(7b);(8);(9a);(9b);(10);(11);(12);(13);(14);(15);(16);(17);(18);(19);(20)
0004;AMMONIUMPIKRAT, trocken oder angefeuchtet mit weniger als 10 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112a P112b P112c;PP26;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0005;PATRONEN FÜR WAFFEN, mit Sprengladung;1;1.1F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0006;PATRONEN FÜR WAFFEN, mit Sprengladung;1;1.1E;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0007;PATRONEN FÜR WAFFEN, mit Sprengladung;1;1.2F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0009;MUNITION, BRAND, mit oder ohne Zerleger, Ausstoss- oder Treibladung;1;1.2G;-;1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0010;MUNITION, BRAND, mit oder ohne Zerleger, Ausstoss- oder Treibladung;1;1.3G;-;1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0012;PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS oder PATRONEN FÜR HANDFEUERWAFFEN;1;1.4S;-;1.4;364;5 kg;E0;P130 LP101;-;MP23 MP24;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0014;PATRONEN FÜR WAFFEN, MANÖVER oder PATRONEN FÜR HANDFEUERWAFFEN, MANÖVER oder PATRONEN FÜR WERKZEUGE, OHNE GESCHOSS;1;1.4S;-;1.4;364;5 kg;E0;P130 LP101;-;MP23 MP24;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0015;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung;1;1.2G;-;1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
